,ridge_ml_net,momentum_baseline_net,SPY
annualized_return,0.03915229481734461,-0.05284664924233551,0.13121567460332573
annualized_volatility,0.06675413851408593,0.07001038640502283,0.15526943636557286
sharpe_ratio,0.5865148691729878,-0.7548401309572558,0.8450837310595116
max_drawdown,-0.08859566617157566,-0.26415362440594803,-0.23927170365660055
cumulative_return,0.22339247646374583,-0.2480195064973446,0.9103521209163434
average_monthly_turnover,0.9078569864316982,0.7563335358436231,
annualized_turnover,10.894283837180378,9.076002430123477,
mean_rank_ic,0.06522366522366524,,
